"cell_ontology_class","Aebp1","Akna","Arid5a","Ascl1","Atf3","Bhlhe40","Cebpa","Cebpb","Cebpd","Creb3l1","Creb3l2","Csrnp1","Cxxc5","Ebf1","Egr1","Egr2","Ehf","Elf3","Epas1","Ets1","Etv1","Etv2","Fli1","Fos","Fosb","Fosl2","Foxa1","Foxa2","Foxa3","Foxo1","Gata3","Gata4","Gata6","Hes1","Hey1","Hmgn3","Hnf4a","Irf5","Irf6","Irf7","Irf8","Isl1","Klf15","Klf2","Klf4","Klf5","Lhx3","Lmo2","Maf","Mafa","Mafb","Mef2c","Meis1","Meis2","Meis3","Mnx1","Myc","Myod1","Myt1l","Neurog2","Neurog3","Nfia","Nfib","Nfil3","Nfix","Nr1d1","Nr1h3","Nr2f2","Nr4a1","Nr4a2","Olig2","Pdx1","Peg3","Plagl1","Plscr1","Plscr2","Pou3f2","Pparg","Rora","Runx1","Satb1","Sox10","Sox5","Sox9","Sp100","Sp110","Tal1","Tbx3","Tbx5","Tcf4","Tcf7l1","Tfcp2l1","Tgif1","Trp63","Trps1","Tsc22d1","Tshz2","Vdr","Zbtb16","Zbtb20","Zeb1","Zeb2","Zfhx3","Zfp536","Zfp612","Zfp9"
"B cell",0.00172541846473285,0.142019887416168,0.131912694442965,0,0.0210663363232188,0.0322356811008975,0.00124627095299603,0.0767719285197275,0.008431997114993,0.00241330495695178,0.0083178470651227,0.0744424381730596,0.143437674633389,0.25995645061221,0.0520724802912159,0.00680226626885069,0.00112297317331225,0.00280045203742024,0.00261606749785879,0.387096368166969,0.00198056798137347,0,0.218659103091094,0.234484254438523,0.0831004429661821,0.00631378804926102,0.000301155389243616,9.91548472529648e-05,0.000165635464083989,0.262729374660053,0.00525929636593457,0.000234674772412592,0.000577211816022945,0.0555008854110331,0.000653436948207101,0.0304816162468711,0.000465046719707419,0.157704263289762,0.00268678841041466,0.0256881228379917,0.301140924359897,0.000239522291448801,0.000536986833207705,0.28522812861058,0.107932244493257,0.00298049685959197,0,0.120352451253931,0.0122129671459216,0.000134117905213536,0.00270894380163002,0.284079150212085,0.0025134730636393,0.000248330521928687,0.00489658822522364,3.01155389243623e-05,0.0999412854265985,0.000552044602669873,0.000237233463910173,0,3.89237694042403e-05,0.0154677623397038,0.00409320300998831,0.0088285016222104,0.00500605310974269,0.00550299462150797,0.00075668153920637,0.000767212699039918,0.109477213421272,0.00843539265529312,0.000469894238743635,2.38659999420623e-05,0.00127179516578462,0.000398823191904465,0.0179224415893586,0.000280101176120168,4.5173308386542e-05,0.000847646341045936,0.00188767355259593,0.0702823436201206,0.157092267639578,0.000590986244365824,0.0035063736924361,0.00194238649218381,0.270613342878669,0.205314413837403,0.000749422521866493,0.000548083891226225,5.39815388664227e-05,0.17425178558628,0.00118990358331029,0.000603467450038731,0.120151105283022,0.000421617544941067,0.0221995491472417,0.0470097701971373,0.000363945158589921,0.00104526014743713,0.000741193174669182,0.0341274281176129,0.0372225245731511,0.0575506371363368,0.00409464387866591,0.000431446247345539,0.00163946394109701,0.000522064414771099
"Bergmann glial cell",0.00199770831570083,0.0528539384901378,0.106135973260489,0.0727601525084176,0.0131548343462688,0.0733944660610516,0.00939010751238093,0.00199770831570083,0.0588401025648636,0.0333623907899633,0.0125564002801456,0.00833029385123011,0.157729988055884,0.00199770831570083,0.021740346516514,0,0,0.00199770831570083,0.125995761371427,0.00399541663140166,0.10269647916887,0,0.00199770831570083,0.110207259857092,0,0,0,0,0,0.222914806457774,0.0174222123713321,0,0.00998854157850416,0.0354874784387708,0.0295646479617128,0.130583448675512,0,0.00199770831570083,0,0.0118002444627822,0.00199770831570083,0,0.165069608298189,0,0.0071617093991663,0.00199770831570083,0,0.00199770831570083,0.166021087277562,0,0,0,0.106298564200891,0,0.0212142698209803,0,0.00199770831570083,0.0133576777060919,0.02221110485031,0,0,0.309105210462654,0.281633905836307,0,0.200886507598094,0.219924261130469,0.0330214683278657,0.0231769539808571,0.0230750229057147,0.00199770831570083,0,0,0.120298044481105,0.00463853506361587,0.114035347708107,0.0232538141058859,0.0605331734377873,0.0471011534851917,0.175802069576581,0.0107722773563836,0.0317471484552382,0,0.158734214019105,0.354868807813646,0.0195533743361657,0.00316629276776464,0,0,0,0.356861582958484,0.0747950041037996,0,0.0201305383140123,0,0.111615311844043,0.204293383435419,0,0.00199770831570083,0.0690138096515745,0.243271711558697,0.0668417336389186,0.128998976605037,0.0189938004167007,0.0949274729809362,0.0657785482266169,0
"Brush cell of epithelium proper of large intestine",0.00908825410519436,0.00217947663376461,0.0146034518016368,0,0.124082409168228,0.0189924944866413,0.02184351646349,0.0504925474470859,0.0918691755776506,0.0850288336177243,0,0.0407076535309628,0.0216308969461036,0.00435895326752921,0.070026412664298,0.0104775177228378,0.480818565891128,0.270349893159047,0.0256195026434969,0.00908825410519436,0.00345438873571488,0,0.00435895326752921,0.201604430322926,0.0448359124306672,0.0420126550503883,0.073120874800879,0.00563386536947949,0.00653842990129382,0.0289057058303255,0.00851497676380346,0.00941954129561779,0.0818338429961684,0.0247003472728263,0.00217947663376461,0.019386047476724,0.134754060044891,0.00435895326752921,0.0818084914515638,0.23708741876713,0.0143517719045379,0.00217947663376461,0.00435895326752921,0.0157550414256566,0.230242533017361,0.24284925682385,0,0.0099928186370087,0.00345438873571488,0.00217947663376461,0,0.0099928186370087,0.00653842990129382,0.00941954129561779,0.00345438873571488,0.00506058802808857,0.021953437760564,0,0.0104775177228378,0,0,0.0394804282068141,0.064310401456354,0,0.026104201729326,0.0361123199625381,0.00563386536947949,0.0284299521847582,0.0450099508489047,0.0165312485383025,0,0.0131256099284316,0.0105878560661531,0,0.0323097843706376,0.00563386536947949,0.00217947663376461,0.022535461477918,0.00435895326752921,0.161456959221094,0.00506058802808858,0.00217947663376461,0.0255309243879351,0.445230676442455,0.0143517719045379,0.0145423951233657,0,0.10390237009034,0,0.0819948284659428,0.109650166109386,0.0309850654061064,0.0152563364363523,0,0.00941954129561779,0.256391084721801,0.00435895326752921,0.0714123699867961,0.00781334200324409,0.100220785741901,0.00217947663376461,0.00653842990129382,0.212366637655601,0.00345438873571488,0.0702681330439015,0.00217947663376461
"Clara cell",0,0.0188736224062976,0,0,0.079800168130915,0.0540684618769393,0.122782592703779,0.327618644988488,0.221487013161389,0.0553002880028186,0.0289765771785344,0.0669834385820519,0.0592402257119308,0,0.130012474036046,0.0218618724874628,0.158871440345038,0.228614322287529,0.329092200678655,0.0356772243466687,0.0303455853309793,0,0.00347819785054585,0.230696905161407,0.0346629694779153,0.0579671698517302,0.183506551150316,0.0943277602270951,0.00807612530875925,0.0926767275160268,0,0,0.00347819785054585,0.199424959190336,0.015032521009851,0.155999887868831,0,0.0232080154823729,0.0591281382172297,0.0290692194182878,0.00347819785054585,0,0.0786653902486915,0.0189889833211463,0.0936307900600846,0.228443380453816,0,0.00347819785054585,0,0,0.0325320951842872,0,0.0619544948493262,0.0457052945844269,0,0,0.0850625760101081,0.00347819785054585,0,0,0,0.171133347412009,0.194738122196393,0.0560148383397929,0.127475146106784,0.135858538775614,0.0232569717613224,0.141006683251552,0.110853258486699,0.0585389575481437,0.00347819785054585,0,0,0.0458482759800305,0.180834857803154,0.0222931297773822,0,0.0145038241769541,0,0.129195173955767,0.00347819785054585,0,0.0737649768489332,0,0.0215977073493953,0.0933768944313843,0,0,0,0.0890910719429984,0.0788707655513144,0.0366166478941502,0.136556809611428,0.0726895654025428,0.0292789565234881,0.27383967714483,0.0159474067148417,0.0176952023191688,0.0178406611643793,0.034298811280479,0.00347819785054585,0.0104345935516376,0.122344567412591,0,0.0215294344759524,0.0258591079209736
"Fraction A pre-pro B cell",0.00159502376775286,0.0991956595032565,0.0642281549555422,0,0.00960696112246015,0.0421988355042955,0.0392501776861976,0.0485562424079943,0.0722504626918492,0.00317517496362979,0.0317982132729424,0.0391598634489245,0.224549722599242,0.00917677955678652,0.0188016332055869,0.00213020231000481,0.000868357320869595,0.00391671398238898,0.00159502376775286,0.155696497144535,0.0195679157044717,0,0.118244304291093,0.25214265158909,0.118449887810082,0.00153131100872109,0.000242222148961088,0,0.000484444297922176,0.0986337537875697,0.00524534084802754,0,0.000484444297922176,0.00246338108862246,0,0.115033963936647,0.000242222148961088,0.149894392491373,0.000242222148961088,0.15307397674568,0.462326917213846,0,0.000242222148961088,0.171173927718207,0.112468740990445,0.00477303598128329,0,0.153151550448288,0.00264909594399457,0,0.00408497313317853,0.25909735361864,0.0109279727242683,0.000484444297922176,0.00955075521793545,0,0.00934771702342964,0,0,0,0,0.0162982482157168,0.000868357320869595,0.00321969471057927,0.00145333289376653,0.00256391236359721,0.00329126066961017,0.00108017310981135,0.00991599625697218,0.00279738046063577,0.000484444297922176,0.000383913022947419,0.00202009638971185,0,0.00721846072975113,0,0,0,0.00279221025250748,0.0731530957901606,0.0846153542656885,0.000968888595844353,0.00140666998900054,0.00217999934064979,0.206998931330438,0.22593497030763,0,0.000242222148961088,0.000242222148961088,0.384036328269282,0,0.00383296281817522,0.0137036266825034,0.000968888595844352,0.0137794045728489,0.312586284323712,0.000726666446883264,0.00111057946983068,0,0.0397006467652862,0.0337593127777082,0.176962770085296,0.0579826244127281,0.000383913022947419,0,0
"Kupffer cell",0,0.0837579296539337,0.0137888267613684,0,0.0448401051788578,0.00924121538571508,0.146968460697163,0.434340475844063,0.112504591749278,0.0153980803328362,0.0185260799177229,0.0137913175928209,0.00921826888687148,0.00142350962792732,0.0260637158720004,0.00427052888378196,0.00142350962792732,0.00142350962792732,0.0306453532903717,0.0706088204828678,0.0368205620353766,0,0.151628701821039,0.192618752205017,0.0640166740703465,0.0229417707958099,0,0,0,0.0398111707583569,0.00142350962792732,0,0,0.0552904734448377,0.00284701925585464,0,0.00142350962792732,0.240028155624643,0,0.37736743861139,0.219978744128279,0.00142350962792732,0.00569403851170928,0.204989276495544,0.0552487169337675,0,0,0.127171294704514,0.20894341098405,0,0.278272020976998,0.0339485243871588,0.022264843325774,0.00142350962792732,0.0478792863772902,0,0.0359594759704675,0,0,0,0,0.0802382594034653,0.0205418881426442,0.0421697651757863,0.0441907496868775,0.0224325752463416,0.314758364072245,0.0138185191862653,0.0818075788296548,0,0.00284701925585464,0,0.00142350962792732,0.00142350962792732,0.00795024789138961,0,0,0.0377434492873625,0.0119219492647933,0.0234526439404021,0.00142350962792732,0,0,0.00284701925585464,0.154450507717665,0.15429622248199,0,0,0,0.112931901910646,0.00510322863553497,0,0.0385577751116833,0,0.0331814346902393,0.04312308650888,0.0033052869984271,0.00284701925585464,0.0149352538974244,0.0633414955406879,0.0268612714575886,0.23450203392023,0.0970881393591791,0.00492453421628638,0,0
"T cell",0.00217069255578662,0.142679344474876,0.133813071474817,8.80690784359014e-05,0.0284599491811537,0.033253326485142,0.00620668094880932,0.0859758623514348,0.0141042239917324,0.00493422547024344,0.00849864394109834,0.106458775480384,0.0577441108326151,0.00637334234859483,0.0824736152700393,0.0214532283822615,0.00120586576490459,0.00231421181449351,0.00713982730936822,0.537951345124026,0.00234943887356073,0,0.170215687683407,0.172535982818054,0.0423941268809342,0.0636241310961961,0.000334436965557802,0.00022266688580313,5.8712718957267e-05,0.18758314255425,0.220954776188632,0.000146781797393172,0.000733242008232734,0.00981242982159518,0.00216913056983226,0.011392013921151,0.000528414470615421,0.015405432235742,0.00786531615732875,0.0544220824916814,0.035823179403886,0.000398805042674926,0.000840879339161328,0.185858770731074,0.0289771884474857,0.00772122478955052,0,0.00693846040144044,0.0277880986968265,0,0.00876097097261313,0.0134254956056898,0.00232164301652108,0.00156044848249663,0.0274620253263084,2.93563594786334e-05,0.0903883127100176,0.00130165657591341,0.000315724343665784,0,0,0.0252998471990051,0.00649023165733188,0.0371351951137751,0.0251035973294,0.00968238504040289,0.00202431314440156,0.00104963333063163,0.135576312431589,0.0433308892932425,0.000803255102336639,0.000105241447888595,0.00214624792001383,0.00117902181391063,0.0217055464625629,0.000697357016888023,0.000272856227922033,0.00386638363064876,0.0338930530027948,0.0800625742068659,0.479398633712661,0.000760116364111476,0.00176257106637053,0.00164174889963106,0.318871293897034,0.246367194069215,0.00155525512713999,0.000638644297930756,8.80690784359023e-05,0.0355472582492813,0.00476001388923767,0.000715306514093634,0.0862590681461702,0.000680184647435334,0.0189926184415482,0.0399762301851822,0.000751954630124764,0.001601248066633,0.00957576122313612,0.0420985715495234,0.076484268478927,0.00985574917648189,0.00480573275097974,0.00201994092908282,0.000176138156871803,0.00113458404518525
"astrocyte of the cerebral cortex",0.0158191771649421,0.0133712435486376,0.0680718898410171,0.0121571753064573,0.0253073815894994,0.121711880843186,0.0153745926917937,0.0405870705631046,0.0699214311646499,0.019997410213886,0.0181672867848007,0.0123440125201959,0.0862334352890417,0.0049731818992562,0.0394190168239817,0.00224154221537414,0.000787676849404012,0.00358469961924937,0.219904373371648,0.00661153881414707,0.0837360951097056,0,0.00245518283212954,0.118560843398677,0.0166251604061621,0.00525708504007395,0.000630141479523209,0.00024968765379831,0.000157535369880803,0.226337949772905,0.00418807190081837,0.000157535369880803,0.000315070739761604,0.0775665576441023,0.0976853935551534,0.166147626685793,0.000472606109642407,0.00315770104162971,0.00207472900640464,0.00175487334260632,0.00563235404312252,0.000315070739761604,0.164400744644248,0.0102205312996694,0.0137991518253806,0.00427300848355077,0,0.00248195203008375,0.00273353884185977,0,0.0132999834540376,0.0318343010639278,0.0204707535089411,0.0712620927342681,0.0221704549825689,0,0.0170985060414286,0.000630141479523209,0.00746596966674907,0.00163357835346099,0,0.307466438067932,0.272473033964042,0.0055891262523649,0.131679323882204,0.237543155442923,0.0163776451851895,0.051981849058779,0.064498490670858,0.0148332142033076,0.0467607480788119,0.000157535369880802,0.078183000024458,0.0344211422838085,0.0234177656492878,0.00740154161931312,0.145892128826837,0.00178217920077895,0.123361001165657,0.000787676849404013,0.0371047981197895,0.00284773783134846,0.131863426555379,0.367655699580978,0.00150997061284472,0.00150997061284473,0.000157535369880803,0.00144458752688143,0,0.390343477127911,0.0382582585945053,0.0415850383057951,0.0121471749750692,0.00720086205334143,0.145348244631331,0.223935366523371,0.0142934394215709,0.000787676849404013,0.0288640112537309,0.243374848806875,0.143403049860567,0.0615154461229688,0.0166677972309348,0.00297654241364367,0.0321254517330005,0.00908895688576022
"basal cell",0.182609434832255,0.00290715259664083,0.172790188179056,5.22463634384208e-05,0.116370010725622,0.126504030784522,0.0231338241986176,0.309884591268078,0.150586410757623,0.00586966230278394,0.0543235458438064,0.153549188778027,0.0385207775200595,0.00285551236578041,0.16090731317037,0.115911943475506,0.00308942818204829,0.0374235205638491,0.0697548758110762,0.114432081767327,0.0113355348040669,0.000355827413909169,0.013335984315013,0.166191327650979,0.0941090480699456,0.112506177870855,0.00258968268425623,2.61231817192104e-05,0.0141481385034472,0.127368477727301,0.225094515044101,2.61231817192103e-05,0.000980513230891545,0.0547395450780674,0.00608276510591195,0.0709378401565788,0.00033960136234973,0.0319820976144864,0.113564578847354,0.0317151435381638,0.0146935013024349,0.000560633356115278,0.000518590847653068,0.0195086905322385,0.0985129150425839,0.17811296095361,0,0.00131923535350713,0.0561713791133965,0.000314637896277787,0.0150190913949749,0.0182344935115439,0.00669737701925564,0.000762312023797561,0.0151553555367607,0,0.225560965598934,0.00181299066256326,0.000130615908596051,0,0,0.181894504034548,0.23801236930756,0.0698992329263879,0.204279155298737,0.0901801744941749,0.00295892009536383,0.0149948429413904,0.0950967800428208,0.0447220914460319,0.00013061590859605,0,0.0119269715734451,0.0176579386784274,0.0812799079552043,0.0045663345951732,0.000585843490354115,0.00101273671533572,0.0363653320698079,0.22501513502868,0.00529432621766244,0.147943389846421,0.0135354250502394,0.236327846381196,0.00386240797927548,0.0177830760095728,0.00046463928840269,0.0600926555806533,0.00010449272687684,0.103125897312897,0.0671236719175472,0.00422199072353788,0.255621100046808,0.0661892902622296,0.0717871438620897,0.228847529825056,0.0721236560531242,0.0740534940803123,0.00641794052918558,0.11538728989727,0.00187639336946649,0.00296740224781756,0.0361400171049882,0.00073493596858264,0.017227346918848,0.00847808757164619
"basal cell of epidermis",0.00260347674685023,0.00178203510879362,0.0775060885879922,9.56051952955339e-05,0.290928979322342,0.163506508229475,0.0774151246123468,0.177074997964889,0.0832238185028405,0.00168369696540303,0.0241419027919722,0.158463018346747,0.00365702726842574,0.000616902781047302,0.247606993529863,0.042079703252949,0.088504482259286,0.0783414567216722,0.0251859100466919,0.0217589543358263,0.0029794214344834,0.00010129815057552,0.00106116580972762,0.327986701985261,0.184804397325553,0.134155096455282,0.0714624669835099,0.000203407972166314,0.000480721773462151,0.106885350602377,0.0842507747751994,0,0.000559910077940102,0.0878232320925681,0.00715989346779432,0.0917712739967849,0.000476625066952899,0.052446228384496,0.160648762644353,0.00890297869360534,0.00350999787286668,0.077159785328558,0.00682373483968202,0.0606394152968607,0.198834713149186,0.236425458368074,7.4753291865461e-05,0.000914392436251302,0.0740092089692014,0.00249578792131372,0.120010910918747,0.00203652232435896,0.0549585417211883,0.0224295289797793,0.00236733884117031,0,0.190495142558801,0.000250222841160849,0,0.000601161020110215,0.000189045216287832,0.130176682176435,0.197624057378407,0.0867319112075104,0.161690312655416,0.133725103247159,0.00295104546738565,0.00579439898813263,0.231118532844253,0.0940824905080682,0.000215231847846725,2.08519034300704e-05,0.0216631371727847,0.0471042704730618,0.0336367150136307,0.000836574198281341,6.25557102902118e-05,0.00162485392315275,0.129505749066278,0.00962730820912675,0.0209367143926354,0.000248468766091856,4.17038068601415e-05,0.0468288206328916,0.00204691704470524,0.000728521769042747,0.000383041069913888,0.08445430920793,2.08519034300707e-05,0.0938631536009875,0.0539317568051498,0.0313434247033108,0.151520011444681,0.197645558906693,0.112911115574553,0.212014892978864,0.00769682092666853,0.0714165539936411,0.0277402371321141,0.0143934039024315,0.000566544652332341,0.000521297585751769,0.0495307484263913,0.000178057714903264,0.0105138054454886,0.00243938838782684
