,tf_selection,tf_number,delta_magnitude,v_modulation,beta,tfs,delta,most_similar_cell,cosine_to_most_similar,cosine_to_target,time_to_converge
0,only,1,1,tmp,50,"('Ascl1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
1,only,1,1,tmp,50,"('Cxxc5',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
2,only,1,1,tmp,50,"('Egr1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
3,only,1,1,tmp,50,"('Etv1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
4,only,1,1,tmp,50,"('Foxa3',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
5,only,1,1,tmp,50,"('Foxo1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
6,only,1,1,tmp,50,"('Hey1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
7,only,1,1,tmp,50,"('Hmgn3',)","(1.0,)",smooth muscle cell,0.99230698,0.626644604,50
8,only,1,1,tmp,50,"('Isl1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
9,only,1,1,tmp,50,"('Klf5',)","(1.0,)",basal cell of epidermis,0.996909839,0.549150837,50
10,only,1,1,tmp,50,"('Lmo2',)","(1.0,)",endothelial cell,0.99990508,0.578858057,50
11,only,1,1,tmp,50,"('Mafa',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
12,only,1,1,tmp,50,"('Mef2c',)","(1.0,)",smooth muscle cell,0.992110517,0.626610657,50
13,only,1,1,tmp,50,"('Meis2',)","(1.0,)",fenestrated cell,0.999911503,0.586790909,50
14,only,1,1,tmp,50,"('Meis3',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
15,only,1,1,tmp,50,"('Myt1l',)","(1.0,)",neuron,0.988198502,0.988198502,16.73346693
16,only,1,1,tmp,50,"('Nfib',)","(1.0,)",stromal cell,0.995768356,0.621920149,50
17,only,1,1,tmp,50,"('Nfix',)","(1.0,)",stromal cell,0.995768354,0.621920128,50
18,only,1,1,tmp,50,"('Nr1d1',)","(1.0,)",stromal cell,0.995768425,0.621920648,50
19,only,1,1,tmp,50,"('Olig2',)","(1.0,)",oligodendrocyte precursor cell,0.999999997,0.689420806,50
20,only,1,1,tmp,50,"('Peg3',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
21,only,1,1,tmp,50,"('Plagl1',)","(1.0,)",stromal cell,0.995768397,0.621920445,50
22,only,1,1,tmp,50,"('Pou3f2',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
23,only,1,1,tmp,50,"('Rora',)","(1.0,)",stromal cell,0.995768358,0.621920157,50
24,only,1,1,tmp,50,"('Sox5',)","(1.0,)",stromal cell,0.995768429,0.621920681,50
25,only,1,1,tmp,50,"('Sox9',)","(1.0,)",luminal epithelial cell of mammary gland,0.999970923,0.465263418,50
26,only,1,1,tmp,50,"('Tcf4',)","(1.0,)",fenestrated cell,0.999911503,0.586790909,50
27,only,1,1,tmp,50,"('Trps1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
28,only,1,1,tmp,50,"('Tsc22d1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
29,only,1,1,tmp,50,"('Zbtb16',)","(1.0,)",stromal cell,0.995768338,0.621920017,50
30,only,1,1,tmp,50,"('Zeb1',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
31,only,1,1,tmp,50,"('Zeb2',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
32,only,1,1,tmp,50,"('Zfp536',)","(1.0,)",fibroblast,0.999976209,0.636057541,50
33,only,1,1,tmp,50,"('Zfp612',)","(1.0,)",mesothelial cell,0.999999993,0.566076881,50
34,only,1,1,tmp,50,"('Zfp9',)","(1.0,)",stromal cell,0.99576837,0.621920253,50
35,only,2,1,tmp,50,"('Ascl1', 'Cxxc5')","(1.0, 1.0)",lung neuroendocrine cell,1,0.584406519,50
36,only,2,1,tmp,50,"('Ascl1', 'Egr1')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
37,only,2,1,tmp,50,"('Ascl1', 'Etv1')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
38,only,2,1,tmp,50,"('Ascl1', 'Foxa3')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
39,only,2,1,tmp,50,"('Ascl1', 'Foxo1')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
40,only,2,1,tmp,50,"('Ascl1', 'Hey1')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
41,only,2,1,tmp,50,"('Ascl1', 'Hmgn3')","(1.0, 1.0)",lung neuroendocrine cell,1,0.584406519,50
42,only,2,1,tmp,50,"('Ascl1', 'Isl1')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
43,only,2,1,tmp,50,"('Ascl1', 'Klf5')","(1.0, 1.0)",basal cell of epidermis,0.996909838,0.549150834,50
44,only,2,1,tmp,50,"('Ascl1', 'Lmo2')","(1.0, 1.0)",endothelial cell,0.99990508,0.578858057,50
45,only,2,1,tmp,50,"('Ascl1', 'Mafa')","(1.0, 1.0)",fibroblast,0.999976209,0.636057541,50
46,only,2,1,tmp,50,"('Ascl1', 'Mef2c')","(1.0, 1.0)",smooth muscle cell,0.992110522,0.626610658,50
47,only,2,1,tmp,50,"('Ascl1', 'Meis2')","(1.0, 1.0)",lung neuroendocrine cell,1,0.584406519,50
48,only,2,1,tmp,50,"('Ascl1', 'Meis3')","(1.0, 1.0)",lung neuroendocrine cell,1,0.584406519,50
49,only,2,1,tmp,50,"('Ascl1', 'Myt1l')","(1.0, 1.0)",neuron,0.988210131,0.988210131,17.13426854
