"","cell_ontology_class","Aff4","Arid1a","Arid4a","Arid4b","Arid5b","Atf3","Atf4","Baz2b","Bclaf1","Carhsp1","Cdc5l","Cebpb","Cebpd","Cebpg","Cnbp","Creb3","Csde1","Csrnp1","Ctcf","Cux1","Egr1","Elf1","Ets1","Ets2","Fos","Fosb","Fosl2","Foxn3","Foxo1","Foxp1","Gatad1","Gatad2a","Gpbp1","Gtf2i","Hbp1","Hif1a","Hmgb1","Hmgb2","Id2","Id3","Irf1","Irf3","Irf8","Jun","Junb","Jund","Klf10","Klf13","Klf2","Klf3","Klf4","Klf6","Klf9","Litaf","Lrrfip1","Maf1","Max","Mbd3","Mef2a","Mef2c","Mier1","Mta2","Mxd4","Myc","Mysm1","Ncor1","Nfe2l2","Nfia","Nfib","Nfic","Nfix","Nme2","Nr3c1","Nr4a1","Pbrm1","Phb","Pias1","Preb","Pura","Purb","Rbck1","Rela","Smarce1","Son","Sox4","Sp100","Sp3","Ssrp1","Stat3","Stat6","Sub1","Tax1bp1","Tcf25","Tcf4","Tcf7l2","Tgif1","Tmf1","Trp53","Tsc22d1","Tsc22d3","Tsc22d4","Ubtf","Vezf1","Xbp1","Ybx1","Zbtb20","Zbtb7a","Zfp148","Zfp207","Zfp36l1","Zfp36l2","Zfp706","Zmiz1"
"1","B cell",0.0592368374874398,0.124075121407906,0.115814652994222,0.0972980290744482,0.0473078091896081,0.00904527769009031,0.078668639090447,0.0987732914904903,0.0814513478640167,0.0456543452541613,0.0960217345962369,0.0307611063916099,0.00417633920203015,0.0535930001661239,0.119760093123959,0.0366481168727184,0.0862189064574243,0.0580535894264031,0.142468125731422,0.0888042738846146,0.0182948321087884,0.15120153596896,0.284097227781519,0.0277675204211484,0.0634856685546739,0.0463306049880643,0.00466142352799494,0.121305288292471,0.190784248311352,0.202806615726744,0.050942239934304,0.0824273000995377,0.118159231337585,0.0359921260512302,0.0770160999336656,0.0603447078995789,0.114018649542903,0.108226273495987,0.0253927776703535,0.0541506677375672,0.0830711394595239,0.102243624944032,0.248510772139986,0.0723649940352731,0.114238510481946,0.127267498518518,0.0462563070507429,0.136286545215462,0.194355362393728,0.048602801847267,0.0593013289959853,0.0486799934873954,0.00786261238776165,0.0521694647993437,0.0761564998877749,0.112196047173933,0.0894684317521265,0.0720436933776981,0.0354726806493523,0.261523863658488,0.0978608725568151,0.118758730714606,0.0548850949766973,0.0645172291674011,0.0984728080936245,0.0959472465910342,0.046294045319046,0.00839729572109429,0.00204060580143917,0.0143046051485691,0.00333223664696268,0.0832375195420955,0.080866653766686,0.0512186812166798,0.0952051253313715,0.0643445708636154,0.0970487063364069,0.0670512508424999,0.0589439132218428,0.0782710507657271,0.10791962693874,0.0796461394724162,0.108503973386813,0.109720650402605,0.0911801288606715,0.242796703700463,0.101390717158046,0.112965496788812,0.0600485642095189,0.0891113013732317,0.129866656988438,0.0968594132294496,0.0782905146728442,0.0887241478175152,0.0101754971726642,0.0846311928017969,0.106607287412104,0.125761510414236,0.0179718061409447,0.184886911943394,0.0881422792212947,0.0984018075722776,0.0735470778533445,0.0428069714939714,0.107479649350794,0.0210264955763029,0.0899406091381399,0.0814603850274205,0.11719425732063,0.138279060790121,0.117148850031598,0.126428449800032,0.0462160015352435
"2","Bergmann glial cell",0.0822723861695332,0.0620537283574813,0.0386840548522367,0.0484094281879168,0.0299150241041454,0.00544098707835034,0.0690935138475363,0.091360991241164,0.0816422799141814,0.00829799715233986,0.070066529107841,0.000771065015727055,0.0280736031700162,0.106673876332174,0.0796068224390554,0.058299862909516,0.0743869884517737,0.00625789439237035,0.0464523731878511,0.0690811016459051,0.00735776725961563,0.0325239582954645,0.00282468089409569,0.00418023386610303,0.0287429696755158,0,0,0.075354159830368,0.155930912157826,0.0405253878104108,0.12229257717295,0.0484219642435981,0.0638026047818728,0.154219630155012,0.0287880887491283,0.124239903547654,0.119042884020513,0.0343953808620871,0.162963558706656,0.0373334390117693,0.00265889603623968,0.0682139770779811,0.00158806011056016,0.0343076038439593,0.00777245180295356,0.056917233593511,0.0126919489790031,0.0306689356761077,0,0.0823788476695119,0.00379043743612548,0.0146878746108462,0.113288184620498,0.0244799035572167,0.0134272914881286,0.110278206379667,0.112331290802999,0.125333057777223,0.0266985921026934,0,0.0646327401231454,0.0376612416314188,0.164364789814431,0.0012422879537672,0.0677507449385078,0.0864547175229005,0.053846077941392,0.161650742238102,0.135250908352489,0.114018356710542,0.128810294244642,0.0642642936853478,0.125273574105538,0.0103993505587372,0.0749934671338995,0.143545576065418,0.109102762561713,0.0968939995326019,0.126228461175266,0.0754587886034412,0.0318084804867675,0.0598263174505501,0.0553844772081194,0.124570312927037,0.00146931792301151,0.0168995334423995,0.0810351787508546,0.0737002026577441,0.0176878850927867,0,0.0709242630121591,0.0807222932455582,0.104515911632684,0.17503456409077,0.136417511583471,0.0136589558209496,0.0712547605750731,0.0406653718516947,0.0752345483813066,0.180613906463155,0.320467333613651,0.0608997683767243,0.0838139578272212,0.0428525403293679,0.0528810825584309,0.144382436481666,0.0126406552113985,0.0762343094251305,0.0983272338237304,0.106078171512821,0.0600718081678165,0.0937644523435496,0.055765045087151
"3","Brush cell of epithelium proper of large intestine",0.0655621509691575,0.0566856867717713,0.0356580277278816,0.0395580495115771,0.0153190494773249,0.0313610885784976,0.0518515873265147,0.0651929340174352,0.0209238106524829,0.00756409959712339,0.0421590131715336,0.0119089865546107,0.0267844760835823,0.0394210883894828,0.0378209950469654,0.00455126170009951,0.0195806644611038,0.0186866985165221,0.0245118804874325,0.0644182221629576,0.0144820507139321,0.0442887437281911,0.00392623582712868,0.0392476579575183,0.0321299540888615,0.014714268138714,0.0182581476409026,0.0106725002315893,0.012355646740522,0.0412984721392886,0.0402009052446345,0.0504033959630303,0.0348168940007496,0.068791694431808,0.0410251434384203,0.0242557673472055,0.0473651924373154,0.0491278124334415,0.10781621646628,0.0533553538005586,0.0511066224951049,0.0411694174782928,0.00697154418461984,0.0912488597904502,0.0601066434196742,0.0856778716754995,0.0531456654547943,0.0217453927254435,0.00631934033933206,0.062333802065077,0.0744640740735533,0.0486301901314517,0.0305292452069464,0.0428599355438515,0.0298724002168462,0.0346742679462128,0.0282970508585402,0.0320382081094015,0.00893131578097327,0.005415118815118,0.0436798440890334,0.0454953221917436,0.020885492485869,0.00834221416622668,0.0156809210562861,0.0645823527395401,0.024904423934838,0.0126165854279586,0.0188723105348936,0.0200153980125042,0.0102281908184337,0.0132201202562913,0.0216625090633185,0.0123954191599168,0.0338501887235532,0.0379620831142683,0.0223970897998393,0.0475404861479392,0.0668058379056938,0.0656454814013493,0.0282601661099602,0.0101997735389136,0.0491890810937024,0.0826528495713767,0.0655887174587753,0.00757961461934855,0.0505932352806888,0.0234040351880525,0.0308489751041205,0.0460259547277962,0.0374272327322104,0.100301770484528,0.0668276438577225,0.024575314391816,0.0868679607768861,0.00632558899358575,0.0342699283025432,0.0147559185531135,0.0576971734722889,0.0430205604337797,0.0860637541991385,0.0642968882266364,0.0516406475081065,0.0328980129564053,0.0825368797320474,0.0363470493033061,0.0912812467552845,0.00768748840156105,0.0237804016728535,0.0060430429581106,0.0250613709800145,0.0492514149775315,0.0651870467394069
"4","Clara cell",0.0734860150462093,0.0968811701989339,0.0709067270964348,0.0588401433905418,0.134037044262398,0.0437473564532312,0.123986938871902,0.151304302578954,0.102810526519059,0.090180520602339,0.0329342561944201,0.16760355605786,0.140064701368781,0.144147632038141,0.12694789051954,0.164072358607016,0.144403101901775,0.0666946570944888,0.097278815229957,0.145603173419296,0.058320374524004,0.144485188654883,0.0334313624568269,0.0493134047326854,0.0797478343621174,0.0246743382962828,0.0546418984593949,0.124202218210399,0.085925029683203,0.0533890389356007,0.0915460934533393,0.0412193278905626,0.0989905251153342,0.140537746708036,0.0747963032689719,0.0395347444518441,0.124625002692913,0.083923498824615,0.037618169778851,0.00404352266856507,0.100703407411852,0.126173484711194,0.00366475410129268,0.0813398381838818,0.106065190667058,0.100953036204971,0.127706778811473,0.0877778981464937,0.0165204170126584,0.152829493486217,0.0656820990650209,0.0731248492871438,0.0460108677955123,0.0938983746373398,0.0732701941814793,0.156449875374914,0.12326493686862,0.0690882713642449,0.0522774106507826,0,0.0613360741550167,0.140091303418103,0.132434392619189,0.0701107196009879,0.0665924856647433,0.105907955339868,0.116467350615968,0.11862103799638,0.123954394346237,0.142619940995257,0.108338051289863,0.0951836890346517,0.0241323415058761,0.0662168075352873,0.120706107133892,0.0974531044099961,0.104714634810197,0.0823157029218169,0.128327074234624,0.0960570983173389,0.0765423712501665,0.0492474704687675,0.0962163699256798,0.0826081751841701,0.0733372158086246,0.024740948762962,0.0625668328682102,0.0971311541118015,0.0603010230210221,0.0677050709478899,0.148207924637021,0.108192848161968,0.0987566273228082,0.0579180460125103,0.0807961832109937,0.1228092759739,0.0997758565183557,0.102032334957178,0.133664195492642,0.0977865874611175,0.0691159215206056,0.127989334966475,0.119680432118233,0.0877934913895559,0.139450539222432,0.0269809676841689,0.128343745885319,0.108303648392048,0.0619015168730692,0.159480652865485,0.0327131424882711,0.105235614936549,0.0687959359888404
"5","Fraction A pre-pro B cell",0.0530174840288412,0.169431171775042,0.165043785292498,0.094287249541397,0.0381118236303709,0.00555449470529313,0.0868996489618111,0.117886485465101,0.122581670308002,0.0609764587071933,0.122887274110154,0.0261981247285617,0.0481871877566476,0.0896325181537287,0.111110427978274,0.102160790606984,0.127883334193345,0.04112210049138,0.187134469649422,0.0834805049263506,0.00889490620855149,0.194207528718387,0.153869440367421,0.00597563518567869,0.0919250682314521,0.0889252140598602,0.00152236083632655,0.099927096260797,0.096446190436443,0.16426592855542,0.114562988224419,0.0994750503539382,0.134369145808452,0.144681937054539,0.0835912259887698,0.11786667667549,0.126034134458654,0.111748881270841,0.0185947081422482,0.0191954441779453,0.187324344117082,0.104852473202219,0.513748127503937,0.119324215566789,0.0775490312738451,0.11945292857764,0.0496001478219361,0.137487078291056,0.157060662191293,0.0401974563664639,0.0832090731562229,0.0678700629419001,0.00178976964627783,0.134616599535327,0.133911505988794,0.0968663725509909,0.118062047821588,0.129457352305764,0.131468581062982,0.321188933873616,0.0856188826913835,0.132823144210807,0.0953990615615994,0.00812572211874443,0.0779926229007737,0.130518601903923,0.0525896949212108,0.0119145739687487,0.000582934736580459,0.0559901192559238,0.00130266012624948,0.123893650806389,0.136603811755568,0.00624693007501618,0.125196524552305,0.0656814642671174,0.117374505577053,0.1099880775955,0.0957982814575131,0.129915850303289,0.139643652093489,0.0802897703561931,0.114394968582784,0.132093216660355,0.0741605811878235,0.250084811627861,0.25672437035351,0.100721248515922,0.108742944983104,0.0893262620404841,0.147045064264264,0.110260625017777,0.105084774134041,0.263307082788564,0.150560368851883,0.0129976202378382,0.108060607769177,0.10886192393808,0.160915970285587,0.122171200015949,0.106787132297341,0.100193009056469,0.0709577152005687,0.130381326104669,0.127439175168959,0.0329371904185606,0.109476540699662,0.11613233282086,0.112823453444609,0.123454584816154,0.232551633585122,0.12253456318589,0.118048351541133
"6","Kupffer cell",0.0334444003517622,0.0520937234862041,0.0559938661076302,0.026372236351746,0.0287964317943608,0.0153102287936022,0.0253475705634301,0.0369730083006751,0.0374559846689475,0.0507442710961746,0.0635762430908832,0.138392314181969,0.0443116305169995,0.0915304295550145,0.0629121066343393,0.0832466520551651,0.0682905948449316,0.00855256562456646,0.0538280495960217,0.0510025889541046,0.00728179861573233,0.0682145603002603,0.0412087103467835,0.0291444730556932,0.0414708316386378,0.0283817981344179,0.0134690718297184,0.0550947291287281,0.0229890486768435,0.0365819500380775,0.0505624033767228,0.0782955439174865,0.0493409983815601,0.0152895098560105,0.0392491024967669,0.078161455384679,0.0645271196302343,0.0439855593058422,0.0897896991862975,0.0993830530461525,0.0828026588631825,0.0440189034631684,0.144357158601974,0.0332842625424708,0.0372380932005189,0.0476525781610863,0.00970147786823912,0.0727420030612826,0.111075297472417,0.0527911690268842,0.0241389059081532,0.0447349084825786,0.0175431046775313,0.094043769744435,0.0745272201224828,0.0443617519336937,0.0592970798321841,0.0557460683362991,0.0952171543412125,0.0248527832830196,0.061107164194217,0.0315000964898275,0.0272514637432321,0.0184597705250248,0.0115147517828602,0.0475532354786528,0.0932579819422826,0.0346398197463567,0.00814363611170332,0.0380781975772791,0.0233912763695803,0.0772015761253804,0.0965451770071393,0.0304354946356691,0.0479487635750361,0.0633286554149485,0.0442851994873739,0.0606018506371928,0.0274928814049612,0.0598601670623328,0.0678072116109406,0.0477427138928152,0.0243443508490321,0.0618877349389464,0.00617074750843564,0.110195811568829,0.0787577663252757,0.0427773498387388,0.0386690269658078,0.122920111308765,0.0517721437751497,0.0523734311370908,0.0683241441077577,0.0457260207595826,0.168406891601749,0.0215971689118343,0.069550946903473,0.0544313140113635,0.0131097859877083,0.0779987405090087,0.0803829732705249,0.0565215000610254,0.0400081383551786,0.0710325015006613,0.112300077693824,0.0310337184731032,0.0613648155938971,0.0543763544631627,0.0344035320279884,0.0511928296451491,0.0548109508716777,0.0692850648439281,0.0375070534267944
"7","T cell",0.0443301154518808,0.1336639541698,0.126878429657905,0.0886544485345291,0.0303076550124451,0.0106758403655227,0.0490627877081859,0.0424422043284784,0.0876118078766726,0.0248057511799985,0.0918095887289435,0.0300961610479266,0.00610308715716184,0.0490564194133173,0.122510914141513,0.0481767165431968,0.085106230912589,0.0725312253964353,0.128144433135139,0.0982080338225304,0.0253145526244257,0.155766224351577,0.344926019896556,0.0777060324352673,0.0408109546901964,0.0206493025665172,0.0410379340819748,0.0947840752825854,0.119004326414736,0.130948319607304,0.0559223161230261,0.0985716542614776,0.108801105642278,0.114473521443867,0.0912309222542412,0.0806848678030697,0.127933387622463,0.114818836906696,0.080767714628619,0.0474300525723054,0.0918391200814675,0.0982837215723482,0.0258270395585224,0.0336663155479297,0.0779250226765907,0.0957326030254992,0.0410320265822843,0.157552090353959,0.110642580345381,0.0910645729127021,0.0139092759460967,0.0523824833280918,0.00793412921045101,0.0148998760077349,0.111876187605928,0.111844897548865,0.0989930699043244,0.06789867626066,0.0628595975801476,0.01079785150005,0.15560559784696,0.131673419384966,0.09273884054075,0.0509774510138775,0.0997606525007889,0.121655125823559,0.0432106557208228,0.0119995487766917,0.00282677401712991,0.0180622461231851,0.0145986065414933,0.0869850910420939,0.0846062735054217,0.0554145147815449,0.101336529417874,0.0715820819238388,0.0894983570973067,0.0720203563533328,0.0626422428357857,0.0668144330378829,0.126175663700855,0.0769911912379422,0.118754060239667,0.113457352882923,0.108730636731019,0.249944776076924,0.101257700120457,0.0875441042351913,0.0662935001137172,0.0915781739238219,0.134889962010964,0.0907489810658263,0.0758987056687292,0.0158126904435561,0.00671862405888083,0.0530814177503073,0.0883320267914846,0.135680288606364,0.0133518207833543,0.133428887666401,0.140797588319763,0.103310568818676,0.0658478278393385,0.0497785882919698,0.104519186041193,0.0226603052426028,0.0576937729003183,0.0852750187230007,0.136493118694485,0.0913381327830183,0.112662602499953,0.0850698944088913,0.0470221950296039
"8","astrocyte of the cerebral cortex",0.0594707496576082,0.0723541408080994,0.0587710149979672,0.0579793217281159,0.0164661024567193,0.0098812009961687,0.0384187876178652,0.0475907086376111,0.0635481098148326,0.0665353869225615,0.0534530852709944,0.0147882518162029,0.0314923633519081,0.0418345833612681,0.0892988325106021,0.0631142604272782,0.0642525973190179,0.00875375668278993,0.0508354500026587,0.0566116082363303,0.0125937648881975,0.0199488177856636,0.00441245287576035,0.00660747105786696,0.0291899211168051,0.0084286904796397,0.00352941881556374,0.0508931796320316,0.149458593132101,0.0134345579232687,0.103857535417429,0.0289988131302392,0.06515950655238,0.115879039732367,0.0529141554871508,0.0628120851645233,0.0892960911622259,0.0317723987046865,0.195670091964293,0.0634452508486511,0.00919934074663761,0.0568743862952645,0.00422663762697896,0.0316266197388568,0.0156589727599057,0.0387213823128051,0.00856652165324373,0.0416423359870967,0.00633296775507174,0.0346538247623093,0.00689438036772898,0.022067266221375,0.111461728320428,0.0123001560079497,0.00756384903526142,0.0680665233036568,0.0630472548926153,0.0866200998297702,0.0272768082124647,0.026649981499929,0.0646887426938455,0.0294206913834565,0.082744261726698,0.0100373385266874,0.063934101753958,0.081357390693494,0.0625724473718909,0.151788651576291,0.12352332939349,0.0845380206713125,0.0797053733903282,0.0608200938446579,0.0931723303080234,0.0274399830281524,0.0558662670898861,0.0878176206134793,0.0762335424397034,0.0818208121677799,0.0987900935530525,0.0961759991427658,0.0501209982026052,0.0342732759647308,0.0327880197157275,0.107628233783113,0.0277815272990093,0.00123194609252327,0.0578942653766037,0.0506139015428788,0.0451471593002165,0.00419649082909374,0.0790398754290836,0.0703711796009225,0.088975111968295,0.180734538799454,0.12889696479978,0.00778050181093316,0.0776374783297394,0.0266019994915572,0.0778495155151675,0.151378418312574,0.26421267248365,0.0530233800031844,0.0758472708909067,0.0382698128065018,0.0571206569679414,0.136354243875645,0.0349580230308033,0.0732000667238627,0.0779956382681723,0.0865186404331485,0.0664254742729539,0.076897880808504,0.0665068866022451
"9","basal cell",0.158956076692468,0.116957606477909,0.0837489412674403,0.18693561029005,0.200879188382269,0.0866064946615762,0.211111635038787,0.141113605131322,0.137581276653842,0.170144277178336,0.150125185005251,0.215216705681293,0.129278883725948,0.173793096615847,0.158763015595334,0.0801854413656735,0.147710728487076,0.207554670511934,0.105340507744832,0.0818287684639007,0.0979878983737773,0.165891800464282,0.145570104570725,0.2179179638888,0.0779914267815035,0.0909436768960775,0.1439731252119,0.175663023052323,0.160314327443967,0.177686764936406,0.154764050731785,0.167577013247193,0.133316951967066,0.0858240692080499,0.0783515169363806,0.191292952575525,0.14554775421342,0.0798856633792461,0.0622657611422865,0.124556158781907,0.0630309715447964,0.0926238350002911,0.0210173149059463,0.11663940737409,0.14012514823099,0.118249663264453,0.276474766378571,0.174051219042201,0.0230413961399957,0.0300787483559253,0.093817290077498,0.149126963752085,0.0575149726464827,0.21686351586842,0.1592834123823,0.0661489110900674,0.189197755403362,0.195876465499219,0.0841835750921092,0.0290965946760798,0.163834446680629,0.156783371828766,0.0505899772052669,0.252389461784252,0.130997464951566,0.119911450645554,0.183167125088344,0.171162267047831,0.205670429859946,0.106893250482523,0.235689878707269,0.177779721830009,0.0805206105095617,0.0771164387412037,0.134675331981945,0.177830364144939,0.119328497669543,0.12683701122632,0.0773551244691063,0.18598220724492,0.106441986191787,0.209070244915087,0.212936893696351,0.143222825303179,0.336774526401263,0.00600659322308237,0.0826771659971902,0.139337944460174,0.230792918607561,0.0638660856843817,0.171972403522079,0.144220733997302,0.133753468685401,0.0910141329352595,0.146351654749446,0.312087149910141,0.137742140348267,0.204971661377982,0.151644380798903,0.0173269204280371,0.053945490792272,0.140841288403047,0.124094466058942,0.134804303974681,0.146463733241151,0.123224709999806,0.174847766329425,0.103519031215507,0.155607425788365,0.180388091858442,0.164039777455145,0.144522565301496,0.117877950068924
"10","basal cell of epidermis",0.166707705489752,0.143503539216154,0.129625286498417,0.164990812034276,0.212102957316553,0.241009976510301,0.15516393089891,0.148185873963277,0.152092592887541,0.147331737813899,0.163639221266263,0.136890053499629,0.0795294721760512,0.17473810451761,0.146818505319602,0.102442001175804,0.170067123719089,0.238424872146631,0.168688669981817,0.20717252586075,0.167841061389187,0.179761605637594,0.0308106645906758,0.208261966700843,0.171329991866659,0.198788876658217,0.191095687891522,0.174927850941433,0.149750132563619,0.111668924397957,0.128260581616829,0.200152012056442,0.169227877041802,0.150385698682047,0.158713566328868,0.22327783621044,0.145971785631247,0.175280877657852,0.137109804781109,0.166242026106178,0.162078557267418,0.144764633907693,0.00558852810174103,0.167263063088864,0.163380997397506,0.14501662101155,0.195672497875094,0.154254491039162,0.0797212916168845,0.244374986443028,0.21077571502367,0.193700869719974,0.178058674171889,0.129217400144339,0.132477901709557,0.130592419415732,0.10200101961688,0.180446703364532,0.202524612258543,0.00361723134037966,0.124880357865594,0.231679477182428,0.150309150694911,0.237262896930173,0.103248420084649,0.139631648969909,0.165349208912466,0.136351619876154,0.190086288009084,0.152445874682547,0.207653631518752,0.164111427225172,0.093357492973392,0.208619344084733,0.164045387750628,0.158775135598491,0.0957948021049979,0.101864060602318,0.101365337767143,0.186151749054707,0.16821826395707,0.166544337300042,0.189880897122149,0.127668989329312,0.199386009029402,0.00354330852229005,0.168761009432257,0.185288859221324,0.173941297431301,0.161120584986212,0.134718670989303,0.159060466954095,0.133523992315377,0.0922093344447529,0.147536918753134,0.205914927991623,0.144835745535918,0.22910704728792,0.156381405586513,0.114154778271944,0.0875654361872923,0.197238446634133,0.165304757850673,0.0806097535506743,0.136722856451979,0.0171096842277985,0.173170408381448,0.148427728118774,0.175936752525094,0.154227760846576,0.163137233767028,0.161629385428466,0.150685666783636
